id_indicador,nombre_del_indicador,unidad_de_medida,tipo_geografico,id_de_union_geografico,nombre_del_barrio,fecha_inicial,valor_del_dato,año,descripcion_temporal
365,Fine particles (PM 2.5),mcg/m3,UHF42,404.0,Bayside - Little Neck,01/01/2021,6.3,2021.0,Annual Average
365,Fine particles (PM 2.5),mcg/m3,UHF42,307.0,Gramercy Park - Murray Hill,01/01/2021,8.2,2021.0,Annual Average
365,Fine particles (PM 2.5),mcg/m3,UHF42,307.0,Gramercy Park - Murray Hill,01/01/2018,10.3,2018.0,Annual Average
365,Fine particles (PM 2.5),mcg/m3,UHF42,308.0,Greenwich Village - SoHo,06/01/2021,10.2,2021.0,Summer
375,Nitrogen dioxide (NO2),ppb,UHF42,308.0,Greenwich Village - SoHo,06/01/2021,17.9,2021.0,Summer
375,Nitrogen dioxide (NO2),ppb,UHF42,308.0,Greenwich Village - SoHo,12/01/2021,24.7,2021.0,Winter -22
375,Nitrogen dioxide (NO2),ppb,UHF42,301.0,Washington Heights,06/01/2022,13.5,2022.0,Summer
365,Fine particles (PM 2.5),mcg/m3,UHF42,301.0,Washington Heights,12/01/2021,7.3,2021.0,Winter -22
375,Nitrogen dioxide (NO2),ppb,UHF42,301.0,Washington Heights,12/01/2021,21.2,2021.0,Winter -22
375,Nitrogen dioxide (NO2),ppb,UHF42,304.0,Upper West Side,01/01/2018,22.2,2018.0,Annual Average
375,Nitrogen dioxide (NO2),ppb,UHF42,304.0,Upper West Side,06/01/2021,15.7,2021.0,Summer
375,Nitrogen dioxide (NO2),ppb,UHF42,304.0,Upper West Side,12/01/2021,22.1,2021.0,Winter -22
365,Fine particles (PM 2.5),mcg/m3,CD,207.0,Kingsbridge Heights and Bedford (CD7),01/01/2018,7.4,2018.0,Annual Average
365,Fine particles (PM 2.5),mcg/m3,CD,207.0,Kingsbridge Heights and Bedford (CD7),06/01/2021,8.7,2021.0,Summer
365,Fine particles (PM 2.5),mcg/m3,CD,207.0,Kingsbridge Heights and Bedford (CD7),12/01/2021,7.4,2021.0,Winter -22
365,Fine particles (PM 2.5),mcg/m3,CD,303.0,Bedford Stuyvesant (CD3),06/01/2021,8.8,2021.0,Summer
365,Fine particles (PM 2.5),mcg/m3,CD,303.0,Bedford Stuyvesant (CD3),01/01/2021,6.8,2021.0,Annual Average
375,Nitrogen dioxide (NO2),ppb,UHF42,307.0,Gramercy Park - Murray Hill,12/01/2020,27.0,2020.0,Winter -21
375,Nitrogen dioxide (NO2),ppb,UHF42,307.0,Gramercy Park - Murray Hill,06/01/2021,20.2,2021.0,Summer
365,Fine particles (PM 2.5),mcg/m3,CD,103.0,Lower East Side and Chinatown (CD3),01/01/2021,7.6,2021.0,Annual Average
365,Fine particles (PM 2.5),mcg/m3,CD,108.0,Upper East Side (CD8),01/01/2018,8.7,2018.0,Annual Average
365,Fine particles (PM 2.5),mcg/m3,CD,108.0,Upper East Side (CD8),01/01/2021,7.0,2021.0,Annual Average
365,Fine particles (PM 2.5),mcg/m3,CD,112.0,Washington Heights and Inwood (CD12),01/01/2021,6.9,2021.0,Annual Average
365,Fine particles (PM 2.5),mcg/m3,UHF42,309.0,Union Square - Lower East Side,12/01/2021,8.4,2021.0,Winter -22
365,Fine particles (PM 2.5),mcg/m3,CD,102.0,Greenwich Village and Soho (CD2),12/01/2021,9.4,2021.0,Winter -22
365,Fine particles (PM 2.5),mcg/m3,UHF42,305.0,Upper East Side,06/01/2022,7.1,2022.0,Summer
365,Fine particles (PM 2.5),mcg/m3,UHF42,305.0,Upper East Side,06/01/2021,8.9,2021.0,Summer
365,Fine particles (PM 2.5),mcg/m3,UHF42,203.0,Bedford Stuyvesant - Crown Heights,06/01/2021,8.5,2021.0,Summer
365,Fine particles (PM 2.5),mcg/m3,UHF42,305.0,Upper East Side,01/01/2021,7.0,2021.0,Annual Average
